prevalence,annotator_sensitivity,annotator_specificity,correlated_error_probability,replicates,majority_vote_precision,majority_vote_precision_lower_95,majority_vote_recall,false_positive_count,license_at_precision_0_70,evidence_role
0.05,0.7,0.7,0.0,1000,0.16071428571428573,0.11840432766694849,0.7058823529411765,188,False,PLANNING_SIMULATION_ONLY
0.05,0.7,0.7,0.3,1000,0.1927710843373494,0.14859215543744556,0.8,201,False,PLANNING_SIMULATION_ONLY
0.05,0.7,0.8,0.0,1000,0.2845528455284553,0.21228579334307549,0.7142857142857143,88,False,PLANNING_SIMULATION_ONLY
0.05,0.7,0.8,0.3,1000,0.2532467532467532,0.19114491379640935,0.78,115,False,PLANNING_SIMULATION_ONLY
0.05,0.7,0.9,0.0,1000,0.5972222222222222,0.48180671684951565,0.8113207547169812,29,False,PLANNING_SIMULATION_ONLY
0.05,0.7,0.9,0.3,1000,0.4835164835164835,0.3836085805153106,0.7213114754098361,47,False,PLANNING_SIMULATION_ONLY
0.05,0.8,0.7,0.0,1000,0.14342629482071714,0.10543307614094696,0.9,215,False,PLANNING_SIMULATION_ONLY
0.05,0.8,0.7,0.3,1000,0.14930555555555555,0.11277360908491282,0.9148936170212766,245,False,PLANNING_SIMULATION_ONLY
0.05,0.8,0.8,0.0,1000,0.3684210526315789,0.2958607242229099,0.8888888888888888,96,False,PLANNING_SIMULATION_ONLY
0.05,0.8,0.8,0.3,1000,0.25477707006369427,0.19303975813289959,0.8333333333333334,117,False,PLANNING_SIMULATION_ONLY
0.05,0.8,0.9,0.0,1000,0.6714285714285714,0.5550093573883407,0.9591836734693877,23,False,PLANNING_SIMULATION_ONLY
0.05,0.8,0.9,0.3,1000,0.5348837209302325,0.4302430272177625,0.8214285714285714,40,False,PLANNING_SIMULATION_ONLY
0.05,0.9,0.7,0.0,1000,0.1976284584980237,0.15324146135558797,0.9433962264150944,203,False,PLANNING_SIMULATION_ONLY
0.05,0.9,0.7,0.3,1000,0.13076923076923078,0.09510996963755278,0.8947368421052632,226,False,PLANNING_SIMULATION_ONLY
0.05,0.9,0.8,0.0,1000,0.4460431654676259,0.36596447690412504,0.9841269841269841,77,False,PLANNING_SIMULATION_ONLY
0.05,0.9,0.8,0.3,1000,0.30857142857142855,0.2448621057455877,0.9818181818181818,121,False,PLANNING_SIMULATION_ONLY
0.05,0.9,0.9,0.0,1000,0.6666666666666666,0.5605282305356535,0.9824561403508771,28,False,PLANNING_SIMULATION_ONLY
0.05,0.9,0.9,0.3,1000,0.575,0.4656928984656886,0.9787234042553191,34,False,PLANNING_SIMULATION_ONLY
0.2,0.7,0.7,0.0,1000,0.4838709677419355,0.4313052160545469,0.746606334841629,176,False,PLANNING_SIMULATION_ONLY
0.2,0.7,0.7,0.3,1000,0.48,0.4281612478042309,0.7777777777777778,182,False,PLANNING_SIMULATION_ONLY
0.2,0.7,0.8,0.0,1000,0.6588785046728972,0.5930588026473669,0.7704918032786885,73,False,PLANNING_SIMULATION_ONLY
0.2,0.7,0.8,0.3,1000,0.6056910569105691,0.5434460081978387,0.7376237623762376,97,False,PLANNING_SIMULATION_ONLY
0.2,0.7,0.9,0.0,1000,0.9055555555555556,0.8539663712230409,0.7725118483412322,17,True,PLANNING_SIMULATION_ONLY
0.2,0.7,0.9,0.3,1000,0.7840909090909091,0.7175830080733256,0.75,38,True,PLANNING_SIMULATION_ONLY
0.2,0.8,0.7,0.0,1000,0.5197568389057751,0.46585481217044183,0.890625,158,False,PLANNING_SIMULATION_ONLY
0.2,0.8,0.7,0.3,1000,0.4742857142857143,0.4225359497972163,0.8691099476439791,184,False,PLANNING_SIMULATION_ONLY
0.2,0.8,0.8,0.0,1000,0.6666666666666666,0.60941876297078,0.916256157635468,93,False,PLANNING_SIMULATION_ONLY
0.2,0.8,0.8,0.3,1000,0.6594202898550725,0.6016645378108081,0.8625592417061612,94,False,PLANNING_SIMULATION_ONLY
0.2,0.8,0.9,0.0,1000,0.871244635193133,0.8221451122455236,0.9398148148148148,30,True,PLANNING_SIMULATION_ONLY
0.2,0.8,0.9,0.3,1000,0.8086124401913876,0.7498995101631177,0.8366336633663366,40,True,PLANNING_SIMULATION_ONLY
0.2,0.9,0.7,0.0,1000,0.5305555555555556,0.4789517543155086,0.9744897959183674,169,False,PLANNING_SIMULATION_ONLY
0.2,0.9,0.7,0.3,1000,0.5176151761517616,0.46671253365315735,0.9597989949748744,178,False,PLANNING_SIMULATION_ONLY
0.2,0.9,0.8,0.0,1000,0.7516778523489933,0.6996300461230307,0.9655172413793104,74,False,PLANNING_SIMULATION_ONLY
0.2,0.9,0.8,0.3,1000,0.6711864406779661,0.6156776720693776,0.9519230769230769,97,False,PLANNING_SIMULATION_ONLY
0.2,0.9,0.9,0.0,1000,0.9086538461538461,0.8617460727755926,0.9792746113989638,19,True,PLANNING_SIMULATION_ONLY
0.2,0.9,0.9,0.3,1000,0.8552036199095022,0.8027399103495929,0.9742268041237113,32,True,PLANNING_SIMULATION_ONLY
