stage,estimand,worst_plausible,conservative,central,optimistic,source,replace_after_s2
S2,CLAIM_LICENSE_RATE,0.042,0.045,0.048,0.05,DECLARED_V7_1_PLANNING_GRID,True
S2,DIAGNOSTIC_TRANSPORT_EFFECT,0.046,0.056,0.066,0.076,DECLARED_V7_1_PLANNING_GRID,True
S2,FAMILY_BENCHMARK_INTERACTION,0.072,0.08399999999999999,0.096,0.148,DECLARED_V7_1_PLANNING_GRID,True
S2,MODEL_BENCHMARK_INTERACTION,0.074,0.08099999999999999,0.088,0.15,DECLARED_V7_1_PLANNING_GRID,True
S2,MODEL_RANK_CORRELATION,0.048,0.054,0.06,0.066,DECLARED_V7_1_PLANNING_GRID,True
S2,PAIRWISE_ACCURACY_DIFFERENCE,0.046,0.068,0.09,0.114,DECLARED_V7_1_PLANNING_GRID,True
S2,REPAIR_EFFECT,0.092,0.128,0.164,0.382,DECLARED_V7_1_PLANNING_GRID,True
S2,TOP_K_DECISION_STABILITY,0.044,0.08399999999999999,0.124,0.28,DECLARED_V7_1_PLANNING_GRID,True
S3,CLAIM_LICENSE_RATE,0.05,0.053000000000000005,0.056,0.056,DECLARED_V7_1_PLANNING_GRID,True
S3,DIAGNOSTIC_TRANSPORT_EFFECT,0.056,0.057,0.058,0.078,DECLARED_V7_1_PLANNING_GRID,True
S3,FAMILY_BENCHMARK_INTERACTION,0.098,0.129,0.16,0.36,DECLARED_V7_1_PLANNING_GRID,True
S3,MODEL_BENCHMARK_INTERACTION,0.1,0.136,0.172,0.362,DECLARED_V7_1_PLANNING_GRID,True
S3,MODEL_RANK_CORRELATION,0.04,0.044,0.048,0.056,DECLARED_V7_1_PLANNING_GRID,True
S3,PAIRWISE_ACCURACY_DIFFERENCE,0.082,0.146,0.21,0.432,DECLARED_V7_1_PLANNING_GRID,True
S3,REPAIR_EFFECT,0.19,0.384,0.578,0.898,DECLARED_V7_1_PLANNING_GRID,True
S3,TOP_K_DECISION_STABILITY,0.144,0.274,0.404,0.718,DECLARED_V7_1_PLANNING_GRID,True
S4,CLAIM_LICENSE_RATE,0.044,0.048,0.052,0.056,DECLARED_V7_1_PLANNING_GRID,True
S4,DIAGNOSTIC_TRANSPORT_EFFECT,0.064,0.077,0.09,0.106,DECLARED_V7_1_PLANNING_GRID,True
S4,FAMILY_BENCHMARK_INTERACTION,0.088,0.153,0.218,0.426,DECLARED_V7_1_PLANNING_GRID,True
S4,MODEL_BENCHMARK_INTERACTION,0.082,0.163,0.244,0.454,DECLARED_V7_1_PLANNING_GRID,True
S4,MODEL_RANK_CORRELATION,0.052,0.055,0.058,0.062,DECLARED_V7_1_PLANNING_GRID,True
S4,PAIRWISE_ACCURACY_DIFFERENCE,0.1,0.159,0.218,0.402,DECLARED_V7_1_PLANNING_GRID,True
S4,REPAIR_EFFECT,0.226,0.445,0.664,0.952,DECLARED_V7_1_PLANNING_GRID,True
S4,TOP_K_DECISION_STABILITY,0.156,0.315,0.474,0.774,DECLARED_V7_1_PLANNING_GRID,True
