run_id,stage,evidence_class,benchmark,models,families,items,runtime_hours_optimistic,runtime_hours_expected,runtime_hours_conservative,download_gb,estimated_output_gb,planning_only,calibration_state,execution_route,command_or_notebook
s1-v6-mmlu,S1,ENGINEERING_ONLY,mmlu,5,3,50,0.16200396825396826,0.3600795088566827,0.7531828703703702,20.129278931,0.001024,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_max_ceiling/01_valideval_common_panel_mmlu_t4x2.ipynb
s1-v6-gsm8k,S1,ENGINEERING_ONLY,gsm8k,5,3,50,0.7266829648526077,1.362589321658615,3.0589554398148144,20.129278931,0.001024,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_max_ceiling/02_valideval_common_panel_gsm8k_t4x2.ipynb
s1-v6-bbh,S1,ENGINEERING_ONLY,bbh,5,3,50,0.4997041524943311,0.9596196910225442,2.1321252893518516,20.129278931,0.001024,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_max_ceiling/03_valideval_common_panel_bbh_t4x2.ipynb
study-c-s2-bbh-v7,S2,EXPLORATORY,bbh,8,7,270,3.5867772108843536,6.464447463768114,14.768229166666663,29.63527434,0.00884736,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/03_s2_bbh_t4x2.ipynb
study-c-s3-bbh-v7,S3,CONFIRMATORY,bbh,11,9,6507,114.63849649234695,203.66979449728254,468.2905273437499,55.61982648,0.293179392,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/06_s3_bbh_t4x2.ipynb
study-c-s4-bbh-fallback-v7,S4,CONFIRMATORY,bbh,11,9,6507,114.63849649234695,203.66979449728254,468.2905273437499,55.61982648,0.293179392,True,UNMEASURED_ASSUMPTIONS,fallback_alternative,kaggle_v7/09_s4_bbh_t4x2.ipynb
study-c-s4-bbh-v7,S4,CONFIRMATORY,bbh,13,11,6507,135.47882918792516,240.69309046648547,553.4191080729165,63.995012707,0.346484736,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/09_s4_bbh_t4x2.ipynb
study-c-s5-bbh-alternate_prompt-v7,S5,ROBUSTNESS,bbh,11,9,270,4.948485331632654,8.930281929347824,20.389648437499996,55.61982648,0.01216512,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
study-c-s5-bbh-quantization_fp16-v7,S5,ROBUSTNESS,bbh,2,2,270,0.8966943027210884,1.6161118659420286,3.6920572916666656,22.226455756,0.00221184,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
study-c-s5-bbh-quantization_nf4-v7,S5,ROBUSTNESS,bbh,2,2,270,0.8966943027210884,1.6161118659420286,3.6920572916666656,22.226455756,0.00221184,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
study-c-s2-gsm8k-v7,S2,EXPLORATORY,gsm8k,8,7,200,4.144104308390023,7.453904991948468,17.043981481481477,29.63527434,0.0065536,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/02_s2_gsm8k_t4x2.ipynb
study-c-s3-gsm8k-v7,S3,CONFIRMATORY,gsm8k,11,9,1319,36.570172548185944,65.07023387177938,149.51153790509258,55.61982648,0.059428864,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/05_s3_gsm8k_t4x2.ipynb
study-c-s4-gsm8k-fallback-v7,S4,CONFIRMATORY,gsm8k,11,9,1319,36.570172548185944,65.07023387177938,149.51153790509258,55.61982648,0.059428864,True,UNMEASURED_ASSUMPTIONS,fallback_alternative,kaggle_v7/08_s4_gsm8k_t4x2.ipynb
study-c-s4-gsm8k-v7,S4,CONFIRMATORY,gsm8k,13,11,1319,43.216264526644,76.89360972725441,176.68030237268516,63.995012707,0.070234112,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/08_s4_gsm8k_t4x2.ipynb
study-c-s5-gsm8k-alternate_prompt_parser-v7,S5,ROBUSTNESS,gsm8k,11,9,200,5.714810090702948,10.290786030595811,23.518807870370367,55.61982648,0.0090112,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
study-c-s5-gsm8k-quantization_fp16-v7,S5,ROBUSTNESS,gsm8k,2,2,200,1.0360260770975058,1.863476247987117,4.260995370370369,22.226455756,0.0016384,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
study-c-s5-gsm8k-quantization_nf4-v7,S5,ROBUSTNESS,gsm8k,2,2,200,1.0360260770975058,1.863476247987117,4.260995370370369,22.226455756,0.0016384,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
study-c-s2-mmlu-v7,S2,EXPLORATORY,mmlu,8,7,200,0.5301587301587302,1.0378421900161028,2.2870370370370368,29.63527434,0.0065536,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/01_s2_mmlu_t4x2.ipynb
study-c-s3-mmlu-v7,S3,CONFIRMATORY,mmlu,11,9,14015,38.435367063492066,68.38162993156199,157.12774884259258,55.61982648,0.63145984,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/04_s3_mmlu_t4x2.ipynb
study-c-s4-mmlu-fallback-v7,S4,CONFIRMATORY,mmlu,11,9,14015,38.435367063492066,68.38162993156199,157.12774884259258,55.61982648,0.63145984,True,UNMEASURED_ASSUMPTIONS,fallback_alternative,kaggle_v7/07_s4_mmlu_t4x2.ipynb
study-c-s4-mmlu-v7,S4,CONFIRMATORY,mmlu,13,11,14015,45.42058531746032,80.80707779790657,185.68127893518513,63.995012707,0.74627072,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/07_s4_mmlu_t4x2.ipynb
study-c-s5-mmlu-controlled_generation-v7,S5,ROBUSTNESS,mmlu,11,9,200,0.7456349206349207,1.4686996779388082,3.228009259259259,55.61982648,0.0090112,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
study-c-s5-mmlu-option_loglikelihood-v7,S5,ROBUSTNESS,mmlu,11,9,200,2.148696145124717,3.9596417069243155,8.957175925925926,55.61982648,0.0090112,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
study-c-s5-mmlu-quantization_fp16-v7,S5,ROBUSTNESS,mmlu,2,2,200,0.13253968253968254,0.2594605475040257,0.5717592592592592,22.226455756,0.0016384,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
study-c-s5-mmlu-quantization_nf4-v7,S5,ROBUSTNESS,mmlu,2,2,200,0.13253968253968254,0.2594605475040257,0.5717592592592592,22.226455756,0.0016384,True,UNMEASURED_ASSUMPTIONS,primary,kaggle_v7/10_s5_robustness_t4x2.ipynb
