stage,benchmark,models,families,items,pairwise_difference,response_correlation,power,power_gate,evidence_role
S2,mmlu,8,7,200,0.01,0.0,0.05459560714944878,UNDERPOWERED,PLANNING_ONLY
S2,mmlu,8,7,200,0.02,0.0,0.0685375278620074,UNDERPOWERED,PLANNING_ONLY
S2,mmlu,8,7,200,0.03,0.0,0.09223226544853136,UNDERPOWERED,PLANNING_ONLY
S2,mmlu,8,7,200,0.01,0.25,0.05613300864958115,UNDERPOWERED,PLANNING_ONLY
S2,mmlu,8,7,200,0.02,0.25,0.07479681434845509,UNDERPOWERED,PLANNING_ONLY
S2,mmlu,8,7,200,0.03,0.25,0.10664775054077746,UNDERPOWERED,PLANNING_ONLY
S2,mmlu,8,7,200,0.01,0.5,0.05921587888376101,UNDERPOWERED,PLANNING_ONLY
S2,mmlu,8,7,200,0.02,0.5,0.08742142984276513,UNDERPOWERED,PLANNING_ONLY
S2,mmlu,8,7,200,0.03,0.5,0.13583762213765405,UNDERPOWERED,PLANNING_ONLY
S2,gsm8k,8,7,200,0.01,0.0,0.05459560714944878,UNDERPOWERED,PLANNING_ONLY
S2,gsm8k,8,7,200,0.02,0.0,0.0685375278620074,UNDERPOWERED,PLANNING_ONLY
S2,gsm8k,8,7,200,0.03,0.0,0.09223226544853136,UNDERPOWERED,PLANNING_ONLY
S2,gsm8k,8,7,200,0.01,0.25,0.05613300864958115,UNDERPOWERED,PLANNING_ONLY
S2,gsm8k,8,7,200,0.02,0.25,0.07479681434845509,UNDERPOWERED,PLANNING_ONLY
S2,gsm8k,8,7,200,0.03,0.25,0.10664775054077746,UNDERPOWERED,PLANNING_ONLY
S2,gsm8k,8,7,200,0.01,0.5,0.05921587888376101,UNDERPOWERED,PLANNING_ONLY
S2,gsm8k,8,7,200,0.02,0.5,0.08742142984276513,UNDERPOWERED,PLANNING_ONLY
S2,gsm8k,8,7,200,0.03,0.5,0.13583762213765405,UNDERPOWERED,PLANNING_ONLY
S2,bbh,8,7,270,0.01,0.0,0.05620995001135376,UNDERPOWERED,PLANNING_ONLY
S2,bbh,8,7,270,0.02,0.0,0.07511074872546186,UNDERPOWERED,PLANNING_ONLY
S2,bbh,8,7,270,0.03,0.0,0.10737209945625836,UNDERPOWERED,PLANNING_ONLY
S2,bbh,8,7,270,0.01,0.25,0.05828990135167833,UNDERPOWERED,PLANNING_ONLY
S2,bbh,8,7,270,0.02,0.25,0.08361997337962768,UNDERPOWERED,PLANNING_ONLY
S2,bbh,8,7,270,0.03,0.25,0.1270382374983472,UNDERPOWERED,PLANNING_ONLY
S2,bbh,8,7,270,0.01,0.5,0.062464189843046025,UNDERPOWERED,PLANNING_ONLY
S2,bbh,8,7,270,0.02,0.5,0.10081294264602547,UNDERPOWERED,PLANNING_ONLY
S2,bbh,8,7,270,0.03,0.5,0.1668386512853932,UNDERPOWERED,PLANNING_ONLY
S3,mmlu,11,9,14015,0.01,0.0,0.3877391380157329,UNDERPOWERED,PLANNING_ONLY
S3,mmlu,11,9,14015,0.02,0.0,0.9177065613019391,PASS,PLANNING_ONLY
S3,mmlu,11,9,14015,0.03,0.0,0.9989196693757499,PASS,PLANNING_ONLY
S3,mmlu,11,9,14015,0.01,0.25,0.4894578577286388,UNDERPOWERED,PLANNING_ONLY
S3,mmlu,11,9,14015,0.02,0.25,0.9718056927357771,PASS,PLANNING_ONLY
S3,mmlu,11,9,14015,0.03,0.25,0.9999397032157759,PASS,PLANNING_ONLY
S3,mmlu,11,9,14015,0.01,0.5,0.6583604486964467,UNDERPOWERED,PLANNING_ONLY
S3,mmlu,11,9,14015,0.02,0.5,0.9972596178484359,PASS,PLANNING_ONLY
S3,mmlu,11,9,14015,0.03,0.5,0.9999998694297074,PASS,PLANNING_ONLY
S3,gsm8k,11,9,1319,0.01,0.0,0.08073422869899427,UNDERPOWERED,PLANNING_ONLY
S3,gsm8k,11,9,1319,0.02,0.0,0.1769905331592766,UNDERPOWERED,PLANNING_ONLY
S3,gsm8k,11,9,1319,0.03,0.0,0.3383024661633691,UNDERPOWERED,PLANNING_ONLY
S3,gsm8k,11,9,1319,0.01,0.25,0.09117726700031248,UNDERPOWERED,PLANNING_ONLY
S3,gsm8k,11,9,1319,0.02,0.25,0.22048445192790955,UNDERPOWERED,PLANNING_ONLY
S3,gsm8k,11,9,1319,0.03,0.25,0.4290025889084351,UNDERPOWERED,PLANNING_ONLY
S3,gsm8k,11,9,1319,0.01,0.5,0.1123002986489885,UNDERPOWERED,PLANNING_ONLY
