held_out_subject,spearman_with_full_ranking,maximum_absolute_rank_change
abstract_algebra,0.9997975708502025,1.0
anatomy,0.9997975708502025,1.0
astronomy,1.0,0.0
business_ethics,0.9997975708502025,1.0
clinical_knowledge,1.0,0.0
college_biology,0.9995951417004049,1.0
college_chemistry,0.9995951417004049,1.0
college_computer_science,1.0,0.0
college_mathematics,0.9997975708502025,1.0
college_medicine,0.9997975708502025,1.0
college_physics,1.0,0.0
computer_security,0.9997975708502025,1.0
conceptual_physics,0.9997975708502025,1.0
econometrics,0.9995951417004049,1.0
electrical_engineering,0.9997975708502025,1.0
elementary_mathematics,1.0,0.0
formal_logic,0.9997975708502025,1.0
global_facts,0.9997975708502025,1.0
high_school_biology,1.0,0.0
high_school_chemistry,0.9995951417004049,1.0
high_school_computer_science,0.9997975708502025,1.0
high_school_european_history,0.9993927125506072,2.0
high_school_geography,0.9997975708502025,1.0
high_school_government_and_politics,0.9997975708502025,1.0
high_school_macroeconomics,1.0,0.0
high_school_mathematics,1.0,0.0
high_school_microeconomics,0.9997975708502025,1.0
high_school_physics,0.9997975708502025,1.0
high_school_psychology,0.9997975708502025,1.0
high_school_statistics,0.9997975708502025,1.0
high_school_us_history,0.9991902834008098,2.0
high_school_world_history,0.9993927125506072,1.0
human_aging,0.9995951417004049,1.0
human_sexuality,0.9997975708502025,1.0
international_law,0.9997975708502025,1.0
jurisprudence,0.9993927125506072,1.0
logical_fallacies,0.9997975708502025,1.0
machine_learning,0.9995951417004049,1.0
management,0.9997975708502025,1.0
marketing,0.9995951417004049,1.0
medical_genetics,0.9993927125506072,1.0
miscellaneous,0.9997975708502025,1.0
moral_disputes,0.9995951417004049,1.0
moral_scenarios,0.9997975708502025,1.0
nutrition,0.9997975708502025,1.0
philosophy,0.9995951417004049,1.0
prehistory,0.9995951417004049,1.0
professional_accounting,0.9997975708502025,1.0
professional_law,0.9997975708502025,1.0
professional_medicine,0.9993927125506072,1.0
professional_psychology,0.9997975708502025,1.0
public_relations,0.9997975708502025,1.0
security_studies,0.9995951417004049,1.0
sociology,0.9995951417004049,1.0
us_foreign_policy,0.9997975708502025,1.0
virology,1.0,0.0
world_religions,0.9993927125506072,1.0
