method,simulation,median_rank_range,maximum_rank_range,kendalls_w,evidence_role
ADD_ABILITY_SUBJECT,0,17.5,26.5,0.8909468065552714,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,1,18.0,24.0,0.887677629913244,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,2,17.5,26.0,0.8943817792962155,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,3,18.0,26.0,0.8933552810242539,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,4,17.5,25.5,0.894656684715964,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,5,18.0,27.5,0.890666137436366,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,6,17.5,27.5,0.8933037408899587,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,7,18.5,26.0,0.8949579024372923,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,8,19.0,28.5,0.888771744498475,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,9,18.5,27.0,0.8860428696667639,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,10,18.0,27.0,0.8937893256610929,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,11,16.0,26.0,0.8987096567038473,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,12,17.0,26.0,0.8922772434557659,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,13,19.0,27.5,0.8943947603204474,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,14,18.0,27.0,0.8945884739166384,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,15,17.0,25.5,0.897727898953879,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,16,16.5,24.0,0.8960268606917521,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,17,16.5,25.0,0.8955224276402561,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,18,18.0,28.5,0.8937822987907776,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,19,19.0,28.0,0.8913610080337762,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,20,17.5,26.5,0.8957675747498023,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,21,16.0,27.5,0.8978275353779563,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,22,18.5,28.5,0.8875727314640374,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,23,18.5,26.5,0.8912241257926096,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,24,17.5,28.0,0.8926174542714866,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,25,16.0,24.5,0.8975739517565934,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,26,17.0,25.0,0.8946328816357013,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,27,18.5,25.5,0.8898929910639783,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,28,18.5,24.0,0.9008158768586386,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,29,18.5,25.5,0.8882390897312212,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,30,17.5,30.5,0.8892506359669013,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,31,17.5,24.5,0.8979376514244144,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,32,17.5,25.0,0.8932999034450092,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,33,19.5,26.0,0.8879917907817383,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,34,16.5,26.5,0.8938274110477666,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,35,18.5,25.0,0.8915569559121106,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,36,17.0,26.0,0.8922263153807506,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,37,17.0,24.0,0.8920848858182454,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,38,16.5,26.5,0.8985652581973289,CALIBRATION_NULL
