stage,estimand,effect_size,model_count,family_count,models_per_family,family_correlation,benchmark_count,item_count,measurement_error,transport_heterogeneity,held_out_benchmark,held_out_family,simulated_standard_error,power,monte_carlo_se,power_ci_lower,power_ci_upper,target_power,design_adequacy,evidence_role
S2,PAIRWISE_ACCURACY_DIFFERENCE,0.01,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.04330127018922193,0.046,0.00936845771725528,0.02763782287417965,0.06436217712582035,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,PAIRWISE_ACCURACY_DIFFERENCE,0.02,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.04330127018922193,0.09,0.012798437404620925,0.06491506268694298,0.11508493731305701,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,PAIRWISE_ACCURACY_DIFFERENCE,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.04330127018922193,0.114,0.014212951839783319,0.08614261439402471,0.1418573856059753,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,MODEL_RANK_CORRELATION,0.01,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.5421151989096864,0.066,0.011103512957618413,0.044237114603067916,0.08776288539693208,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,MODEL_RANK_CORRELATION,0.02,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.5421151989096864,0.06,0.010620734437881401,0.03918336050175245,0.08081663949824755,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,MODEL_RANK_CORRELATION,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.5421151989096864,0.048,0.009559916317625379,0.029262564017454258,0.06673743598254575,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,MODEL_BENCHMARK_INTERACTION,0.01,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.03162277660168379,0.074,0.011706750189527408,0.05105476962852627,0.09694523037147372,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,MODEL_BENCHMARK_INTERACTION,0.02,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.03162277660168379,0.088,0.012669333052690659,0.0631681072167263,0.11283189278327369,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,MODEL_BENCHMARK_INTERACTION,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.03162277660168379,0.15,0.015968719422671314,0.11870130993156422,0.18129869006843577,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,FAMILY_BENCHMARK_INTERACTION,0.01,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.032732683535398856,0.072,0.011559930795640603,0.049342535640544416,0.09465746435945557,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,FAMILY_BENCHMARK_INTERACTION,0.02,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.032732683535398856,0.096,0.013174520864152897,0.07017793910626033,0.12182206089373968,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,FAMILY_BENCHMARK_INTERACTION,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.032732683535398856,0.148,0.015880554146502572,0.11687411387285496,0.17912588612714503,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,DIAGNOSTIC_TRANSPORT_EFFECT,0.01,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.07216878364870323,0.046,0.00936845771725528,0.02763782287417965,0.06436217712582035,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,DIAGNOSTIC_TRANSPORT_EFFECT,0.02,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.07216878364870323,0.066,0.011103512957618413,0.044237114603067916,0.08776288539693208,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,DIAGNOSTIC_TRANSPORT_EFFECT,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.07216878364870323,0.076,0.011851075900524812,0.05277189123497136,0.09922810876502863,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,TOP_K_DECISION_STABILITY,0.01,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.023784133220262012,0.044,0.009172131704244111,0.02602262185968154,0.06197737814031845,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,TOP_K_DECISION_STABILITY,0.02,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.023784133220262012,0.124,0.014739335127474372,0.09511090315015022,0.15288909684984978,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,TOP_K_DECISION_STABILITY,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.023784133220262012,0.28,0.020079840636817812,0.24064351235183712,0.31935648764816293,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,CLAIM_LICENSE_RATE,0.01,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.16366341767699427,0.042,0.008970618707759236,0.0244175873327919,0.05958241266720811,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,CLAIM_LICENSE_RATE,0.02,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.16366341767699427,0.048,0.009559916317625379,0.029262564017454258,0.06673743598254575,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,CLAIM_LICENSE_RATE,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.16366341767699427,0.05,0.009746794344808964,0.030896283084174435,0.06910371691582556,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
