split,policy_id,claim_family,effect_size,effective_n,family_correlation,multiplicity,benchmark_count,false_license_rate,false_license_upper_95,true_license_power,abstention_rate,false_block_rate,decision_regret,coverage,license_precision,license_recall,licensed_count,true_supported_count,null_count,observation_count
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,12,0.05,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,12,0.05,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,12,0.05,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.7916666666666666,0.0,0.0,0,0,24,24
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,12,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0,0,120,120
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,12,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,12,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,3,3
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,12,0.45,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.4166666666666667,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,12,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,12,0.45,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.85,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,36,0.05,1,3,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0,0,3,3
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,36,0.05,12,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,36,0.05,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,36,0.05,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.875,0.0,0.0,0,0,40,40
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,36,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,2,2
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,36,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,0,12,12
POLICY_DEVELOPMENT,BALANCED,ITEM_DIAGNOSTICS,0.0,36,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,24,24
