scenario_id,claim_family,truth_state,effect_size,raw_n,effective_n,cluster_count,family_count,models_per_family,family_correlation,family_imbalance,ability_spread,benchmark_count,measurement_noise,multiplicity,materiality,split,seed,generator_version,bootstrap_stability,external_validated,held_out,direction_consistent,transport_reversal,adversarial_case
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820000,PRIMARY_PAIRWISE,NULL,0.0,500,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820000,gaussian_mixture_v1.1,0.6,False,False,False,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820001,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820001,gaussian_mixture_v1.2,0.65,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820002,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,2,2,1,0.45,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820002,gaussian_mixture_v1.3,0.7,True,True,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820003,PRIMARY_PAIRWISE,NULL,0.0,500,36,2,2,1,0.45,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820003,gaussian_mixture_v1.1,0.75,True,True,True,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820004,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,2,2,1,0.85,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820004,gaussian_mixture_v1.2,0.8,False,True,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820005,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,2,4,1,0.85,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820005,gaussian_mixture_v1.3,0.85,True,False,True,False,TRANSPORT_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820006,PRIMARY_PAIRWISE,NULL,0.0,500,96,2,4,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820006,gaussian_mixture_v1.1,0.9,True,True,False,False,BENCHMARK_SPECIFIC_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820007,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,96,8,4,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820007,gaussian_mixture_v1.2,0.95,True,True,True,False,VERY_HIGH_MULTIPLICITY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820008,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,96,8,4,1,0.45,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820008,gaussian_mixture_v1.3,0.6,False,True,True,False,NEARLY_TIED_TOP_K
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820009,PRIMARY_PAIRWISE,NULL,0.0,500,12,8,4,1,0.45,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820009,gaussian_mixture_v1.1,0.65,True,True,True,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820010,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,8,6,1,0.85,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820010,gaussian_mixture_v1.2,0.7,True,False,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820011,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,8,6,1,0.85,0.0,0.03,3,0.08,1,0.01,POLICY_DEVELOPMENT,820011,gaussian_mixture_v1.3,0.75,True,True,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820012,PRIMARY_PAIRWISE,NULL,0.0,500,36,8,6,1,0.05,0.0,0.03,3,0.08,1,0.01,POLICY_DEVELOPMENT,820012,gaussian_mixture_v1.1,0.8,False,True,False,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820013,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,8,6,1,0.05,0.0,0.03,3,0.08,12,0.01,POLICY_DEVELOPMENT,820013,gaussian_mixture_v1.2,0.85,True,True,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820014,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,24,6,1,0.45,0.0,0.03,3,0.08,12,0.01,POLICY_DEVELOPMENT,820014,gaussian_mixture_v1.3,0.9,True,True,True,False,TRANSPORT_REVERSAL
