method,family_count,models_per_family,family_correlation,family_imbalance,ability_spread,false_directional_decisions,CI_undercoverage,inflated_significance,false_transport,power,abstention,observations
FAMILY_BALANCED,2,1,0.05,0.0,0.03,0.0,0.09999999999999998,0.0,0.0,0.5,0.7,10
FAMILY_BALANCED,2,1,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,10
FAMILY_BALANCED,2,1,0.05,0.9,0.1,0.0,0.0,0.0,0.0,0.75,0.5,6
FAMILY_BALANCED,2,1,0.2,0.0,0.03,0.0,0.0,0.0,0.0,0.5,0.75,4
FAMILY_BALANCED,2,1,0.2,0.0,0.25,0.0,0.0714285714285714,0.0,0.0,0.8,0.4285714285714286,14
FAMILY_BALANCED,2,1,0.2,0.9,0.25,0.0,0.0,0.0,0.0,0.5,0.5,4
FAMILY_BALANCED,2,1,0.45,0.0,0.03,0.0,0.0,0.0,0.0,0.3333333333333333,0.8,10
FAMILY_BALANCED,2,1,0.45,0.0,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.8,10
FAMILY_BALANCED,2,1,0.45,0.9,0.1,0.0,0.0,0.0,0.0,1.0,0.33333333333333337,6
FAMILY_BALANCED,2,1,0.6,0.0,0.03,0.0,0.0,0.0,0.0,1.0,0.5,4
FAMILY_BALANCED,2,1,0.6,0.0,0.25,0.0,0.0,0.0,0.0,0.4,0.7142857142857143,14
FAMILY_BALANCED,2,1,0.6,0.9,0.25,0.0,0.0,0.0,0.0,0.75,0.25,4
FAMILY_BALANCED,2,1,0.85,0.0,0.03,0.0,0.0,0.0,0.0,0.5,0.7,10
FAMILY_BALANCED,2,1,0.85,0.0,0.25,0.0,0.19999999999999996,0.0,0.0,0.3333333333333333,0.8,10
FAMILY_BALANCED,2,1,0.85,0.9,0.1,0.0,0.0,0.0,0.0,0.5,0.6666666666666667,6
FAMILY_BALANCED,2,1,0.9,0.0,0.03,0.0,0.25,0.0,0.0,1.0,0.5,4
FAMILY_BALANCED,2,1,0.9,0.0,0.25,0.0,0.0714285714285714,0.0,0.0,0.6,0.5714285714285714,14
FAMILY_BALANCED,2,1,0.9,0.9,0.25,0.0,0.5,0.0,0.0,0.5,0.5,4
FAMILY_BALANCED,2,3,0.05,0.5,0.03,0.0,0.0,0.0,0.0,0.4,0.75,16
FAMILY_BALANCED,2,3,0.05,0.5,0.1,0.0,0.0,0.0,0.0,1.0,0.5,4
FAMILY_BALANCED,2,3,0.2,0.0,0.03,0.0,0.16666666666666663,0.0,0.0,1.0,0.6666666666666667,6
FAMILY_BALANCED,2,3,0.2,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,2
FAMILY_BALANCED,2,3,0.2,0.5,0.03,0.0,0.0,0.0,0.0,0.375,0.7,10
FAMILY_BALANCED,2,3,0.45,0.5,0.03,0.0,0.125,0.0,0.0,0.3,0.8125,16
FAMILY_BALANCED,2,3,0.45,0.5,0.1,0.0,0.0,0.0,0.0,0.5,0.75,4
FAMILY_BALANCED,2,3,0.6,0.0,0.03,0.0,0.0,0.0,0.0,1.0,0.6666666666666667,6
FAMILY_BALANCED,2,3,0.6,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,2
FAMILY_BALANCED,2,3,0.6,0.5,0.03,0.0,0.09999999999999998,0.0,0.0,0.25,0.8,10
FAMILY_BALANCED,2,3,0.85,0.5,0.03,0.0,0.0625,0.0,0.0,0.4,0.75,16
FAMILY_BALANCED,2,3,0.85,0.5,0.1,0.0,0.25,0.0,0.0,0.5,0.75,4
FAMILY_BALANCED,2,3,0.9,0.0,0.03,0.0,0.33333333333333337,0.0,0.0,1.0,0.6666666666666667,6
FAMILY_BALANCED,2,3,0.9,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,2
FAMILY_BALANCED,2,3,0.9,0.5,0.03,0.0,0.0,0.0,0.0,0.25,0.8,10
FAMILY_BALANCED,2,8,0.05,0.9,0.1,0.0,0.0,0.0,0.0,0.6666666666666666,0.4285714285714286,14
FAMILY_BALANCED,2,8,0.2,0.5,0.1,0.0,0.0,0.0,0.0,0.5,0.6666666666666667,6
FAMILY_BALANCED,2,8,0.2,0.9,0.1,0.0,0.0714285714285714,0.0,0.0,1.0,0.4285714285714286,14
