scenario_id,claim_family,truth_state,effect_size,raw_n,effective_n,cluster_count,family_count,models_per_family,family_correlation,family_imbalance,ability_spread,benchmark_count,measurement_noise,multiplicity,materiality,split,seed,generator_version,bootstrap_stability,external_validated,held_out,direction_consistent,transport_reversal,adversarial_case,method,estimate,standard_error,licensed,true_supported,false_directional_decision,CI_coverage,inflated_significance,false_transport,power_event,stress_case
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820000,PRIMARY_PAIRWISE,,0.0,500,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820000,gaussian_mixture_v1.1,0.6,False,False,False,False,HIGH_RAW_LOW_EFFECTIVE_N,NAIVE_CHECKPOINT,-0.019236244197840445,0.003577708763999663,False,False,False,False,False,False,False,GENERAL_STRESS
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820000,PRIMARY_PAIRWISE,,0.0,500,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820000,gaussian_mixture_v1.1,0.6,False,False,False,False,HIGH_RAW_LOW_EFFECTIVE_N,FAMILY_CLUSTER_BOOTSTRAP,-0.019236244197840445,0.02338090388900024,False,False,False,True,False,False,False,GENERAL_STRESS
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820000,PRIMARY_PAIRWISE,,0.0,500,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820000,gaussian_mixture_v1.1,0.6,False,False,False,False,HIGH_RAW_LOW_EFFECTIVE_N,FAMILY_BALANCED,-0.019236244197840445,0.022211858694550227,False,False,False,True,False,False,False,GENERAL_STRESS
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820000,PRIMARY_PAIRWISE,,0.0,500,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820000,gaussian_mixture_v1.1,0.6,False,False,False,False,HIGH_RAW_LOW_EFFECTIVE_N,ONE_MODEL_PER_FAMILY,-0.019236244197840445,0.056568542494923796,False,False,False,True,False,False,False,GENERAL_STRESS
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820000,PRIMARY_PAIRWISE,,0.0,500,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820000,gaussian_mixture_v1.1,0.6,False,False,False,False,HIGH_RAW_LOW_EFFECTIVE_N,VALIDEVAL_LICENSING,-0.019236244197840445,0.02338090388900024,False,False,False,True,False,False,False,GENERAL_STRESS
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820001,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820001,gaussian_mixture_v1.2,0.65,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N,NAIVE_CHECKPOINT,0.0035907403999555325,0.0008,False,True,False,False,False,False,False,HUGE_RAW_N_TINY_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820001,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820001,gaussian_mixture_v1.2,0.65,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N,FAMILY_CLUSTER_BOOTSTRAP,0.0035907403999555325,0.02338090388900024,False,True,False,True,False,False,False,HUGE_RAW_N_TINY_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820001,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820001,gaussian_mixture_v1.2,0.65,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N,FAMILY_BALANCED,0.0035907403999555325,0.022211858694550227,False,True,False,True,False,False,False,HUGE_RAW_N_TINY_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820001,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820001,gaussian_mixture_v1.2,0.65,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N,ONE_MODEL_PER_FAMILY,0.0035907403999555325,0.056568542494923796,False,True,False,True,False,False,False,HUGE_RAW_N_TINY_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820001,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,2,2,1,0.05,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820001,gaussian_mixture_v1.2,0.65,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N,VALIDEVAL_LICENSING,0.0035907403999555325,0.02338090388900024,False,True,False,True,False,False,False,HUGE_RAW_N_TINY_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820002,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,2,2,1,0.45,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820002,gaussian_mixture_v1.3,0.7,True,True,True,False,LARGE_EFFECT_SMALL_PANEL,NAIVE_CHECKPOINT,0.050562051088782936,8e-05,True,True,False,False,True,False,True,HUGE_RAW_N_TINY_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820002,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,2,2,1,0.45,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820002,gaussian_mixture_v1.3,0.7,True,True,True,False,LARGE_EFFECT_SMALL_PANEL,FAMILY_CLUSTER_BOOTSTRAP,0.050562051088782936,0.025560386016907754,False,True,False,True,False,False,False,HUGE_RAW_N_TINY_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820002,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,2,2,1,0.45,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820002,gaussian_mixture_v1.3,0.7,True,True,True,False,LARGE_EFFECT_SMALL_PANEL,FAMILY_BALANCED,0.050562051088782936,0.024282366716062365,False,True,False,True,False,False,False,HUGE_RAW_N_TINY_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820002,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,2,2,1,0.45,0.0,0.03,1,0.08,1,0.01,POLICY_DEVELOPMENT,820002,gaussian_mixture_v1.3,0.7,True,True,True,False,LARGE_EFFECT_SMALL_PANEL,ONE_MODEL_PER_FAMILY,0.050562051088782936,0.056568542494923796,False,True,False,True,False,False,False,HUGE_RAW_N_TINY_EFFECTIVE_N
