control,flaw_class,severity,seed,method,positive_count,AUPRC,AUROC,precision_at_k,interpretation
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8101,CONDITIONAL_RESIDUALIZATION,36,0.14310608286462015,0.5151824618736384,0.05555555555555555,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8101,CROSS_FITTED_DIFFICULTY,36,0.14223789009590843,0.5152505446623094,0.05555555555555555,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8101,DIFFICULTY_MATCHING,36,0.14229831896371675,0.47514978213507625,0.1111111111111111,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8101,DIFFICULTY_STRATIFIED_NULL,36,0.15822485230238353,0.5165441176470589,0.1111111111111111,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8101,FAMILY_BALANCED_DIFFICULTY,36,0.14310608286462015,0.5151824618736384,0.05555555555555555,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8101,SUBJECT_CONDITIONED_DIFFICULTY,36,0.21617082711527394,0.6330337690631809,0.2777777777777778,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8101,V7_FROZEN,36,0.3723021797643269,0.7892837690631809,0.4027777777777778,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8101,V8_FULL,36,0.14310608286462015,0.5151824618736384,0.05555555555555555,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8102,CONDITIONAL_RESIDUALIZATION,36,0.1801539394003776,0.5708741830065359,0.25,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
DIFFICULTY_CONDITIONED_NEGATIVE_CONTROL,NO_FLAW_DIFFICULTY_LABEL_ONLY,0.0,8102,CROSS_FITTED_DIFFICULTY,36,0.1801539394003776,0.5708741830065359,0.25,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
